customer_id,tenure_months,monthly_fee,support_tickets,contract_type,last_login_days,region,churn
CUST00241,49,55.57,4,monthly,19,seoul,no
CUST00242,67,32.36,0,two_year,26,gwangju,no
CUST00243,53,23.53,2,annual,65,busan,yes
CUST00244,36,45.98,2,monthly,15,busan,no
CUST00245,47,34.32,1,monthly,79,seoul,no
CUST00246,47,38.86,0,annual,72,daegu,no
CUST00247,54,35.63,2,monthly,44,busan,no
CUST00248,27,32.5,4,two_year,28,seoul,no
CUST00249,52,40.48,3,monthly,78,daegu,no
CUST00250,32,47.14,0,monthly,61,gwangju,no
CUST00251,71,24.77,2,monthly,24,gwangju,no
CUST00252,26,38.77,0,monthly,56,daegu,no
CUST00253,29,56.05,2,monthly,62,gwangju,yes
CUST00254,56,54.21,3,annual,0,daejeon,yes
CUST00255,23,49.25,1,monthly,75,gwangju,no
CUST00256,24,30.65,3,two_year,49,daegu,no
CUST00257,47,44.48,0,monthly,42,daejeon,no
CUST00258,30,43.17,2,monthly,15,daegu,no
CUST00259,10,60.15,1,annual,58,daejeon,yes
CUST00260,21,38.42,4,annual,24,busan,no
CUST00261,40,39.49,1,monthly,87,daejeon,no
CUST00262,14,55.22,1,annual,38,daejeon,no
CUST00263,42,36.9,1,monthly,89,seoul,no
CUST00264,28,38.31,0,monthly,83,busan,yes
CUST00265,67,37.16,1,annual,36,daejeon,no
CUST00266,38,29.47,3,two_year,54,daegu,no
CUST00267,55,61.59,1,monthly,61,gwangju,no
CUST00268,2,61.5,2,two_year,86,daegu,yes
CUST00269,54,49.64,2,annual,74,busan,no
CUST00270,18,19.96,1,monthly,5,daejeon,no
CUST00271,2,28.8,1,monthly,47,daejeon,no
CUST00272,13,29.91,1,annual,21,busan,yes
CUST00273,69,48.07,0,monthly,77,seoul,no
CUST00274,39,64.78,3,two_year,54,daejeon,no
CUST00275,49,62.54,4,annual,51,busan,no
CUST00276,24,52.19,1,monthly,49,seoul,yes
CUST00277,42,55.85,1,annual,62,seoul,no
CUST00278,9,50.47,1,two_year,20,seoul,no
CUST00279,6,27.24,3,annual,1,daejeon,no
CUST00280,62,49.59,0,monthly,54,daejeon,yes
CUST00281,50,31.38,3,monthly,47,gwangju,no
CUST00282,55,14.38,1,monthly,75,seoul,no
CUST00283,63,38.84,2,monthly,70,daegu,yes
CUST00284,59,36.84,2,monthly,52,busan,no
CUST00285,13,49.89,0,monthly,75,busan,yes
CUST00286,36,31.04,1,two_year,10,busan,no
CUST00287,57,22.98,1,monthly,87,daegu,no
CUST00288,13,56.83,1,annual,29,seoul,no
CUST00289,14,56.15,1,annual,49,daejeon,yes
CUST00290,19,73.66,0,monthly,85,daejeon,yes
CUST00291,49,53.22,2,monthly,57,seoul,yes
CUST00292,1,44.47,1,monthly,31,busan,yes
CUST00293,24,29.93,0,monthly,16,seoul,no
CUST00294,71,40.81,2,monthly,89,daegu,no
CUST00295,16,50.43,2,annual,18,gwangju,yes
CUST00296,37,55.05,3,annual,73,busan,no
CUST00297,18,47.34,1,monthly,7,seoul,no
CUST00298,18,58.17,0,two_year,28,seoul,no
CUST00299,50,25.2,1,monthly,13,busan,no
CUST00300,70,67.78,3,annual,14,seoul,no
CUST00301,10,48.82,1,monthly,38,gwangju,yes
CUST00302,14,54.14,1,monthly,14,seoul,no
CUST00303,39,34.5,3,annual,57,daegu,no
CUST00304,6,20.74,0,annual,62,daejeon,no
CUST00305,4,35.49,0,annual,14,daejeon,no
CUST00306,66,56.22,3,monthly,49,seoul,no
CUST00307,71,70.58,1,two_year,17,gwangju,no
CUST00308,52,52.26,3,monthly,63,daejeon,yes
CUST00309,6,18.24,1,two_year,55,daegu,no
CUST00310,26,40.7,1,annual,13,daejeon,no
CUST00311,57,45.93,0,annual,68,busan,no
CUST00312,1,64.6,1,monthly,89,daejeon,yes
CUST00313,68,42.15,0,annual,61,seoul,no
CUST00314,44,34.49,0,two_year,8,busan,no
CUST00315,17,50.37,3,monthly,41,daegu,yes
CUST00316,66,35.35,4,monthly,81,busan,no
CUST00317,6,50.58,1,monthly,58,busan,yes
CUST00318,41,29.15,0,two_year,30,seoul,no
CUST00319,29,29.24,1,monthly,69,daejeon,yes
CUST00320,49,35.19,2,annual,18,seoul,no
CUST00321,21,60.5,3,monthly,3,daegu,no
CUST00322,1,43.53,2,two_year,77,daegu,yes
CUST00323,16,66.2,0,monthly,78,daejeon,no
CUST00324,34,38.51,1,monthly,85,seoul,yes
CUST00325,51,72.53,2,monthly,21,daejeon,no
CUST00326,50,26.16,1,annual,14,gwangju,no
CUST00327,57,52.66,3,monthly,15,busan,no
CUST00328,49,40.37,2,annual,3,gwangju,no
CUST00329,1,33.13,0,monthly,82,gwangju,yes
CUST00330,33,45.14,1,annual,66,daegu,no
CUST00331,71,35.35,1,monthly,59,daegu,no
CUST00332,5,50.62,1,monthly,86,seoul,yes
CUST00333,42,30.53,1,annual,16,gwangju,no
CUST00334,38,42.76,5,monthly,7,daejeon,no
CUST00335,43,48.5,1,monthly,27,daegu,no
CUST00336,39,62.84,2,annual,50,seoul,no
CUST00337,20,92.5,4,annual,81,daegu,yes
CUST00338,6,49.54,3,monthly,36,daegu,yes
CUST00339,48,51.43,3,two_year,21,daegu,no
CUST00340,23,49.93,2,annual,0,busan,no
CUST00341,68,24.49,2,monthly,86,daejeon,no
CUST00342,32,59.83,2,two_year,14,gwangju,no
CUST00343,15,48.82,2,two_year,28,gwangju,no
CUST00344,36,51.48,0,annual,2,busan,no
CUST00345,62,57.59,2,monthly,13,daejeon,no
CUST00346,51,71.47,0,monthly,87,daegu,no
CUST00347,41,26.35,1,monthly,31,seoul,no
CUST00348,31,54.21,0,annual,75,daegu,no
CUST00349,16,41.92,2,monthly,71,busan,yes
CUST00350,43,45.22,2,two_year,89,busan,no
CUST00351,22,47.06,2,annual,15,busan,no
CUST00352,63,61.1,1,monthly,6,gwangju,no
CUST00353,5,69.87,0,annual,6,daejeon,no
CUST00354,62,57.56,1,monthly,23,daegu,no
CUST00355,46,39.36,3,monthly,86,daejeon,no
CUST00356,50,53.73,2,monthly,72,gwangju,no
CUST00357,62,56.49,1,monthly,72,daegu,no
CUST00358,45,40.72,1,monthly,56,busan,no
CUST00359,40,36.82,1,monthly,86,daegu,no
CUST00360,40,23.13,2,monthly,43,daegu,no
CUST00361,45,58.07,1,annual,79,gwangju,no
CUST00362,61,56.34,1,two_year,34,daegu,no
CUST00363,69,58.55,5,annual,43,busan,no
CUST00364,25,47.13,1,annual,84,busan,no
CUST00365,45,77.03,1,monthly,31,daejeon,no
CUST00366,70,18.9,1,monthly,86,busan,no
CUST00367,25,21.35,1,monthly,1,daejeon,no
CUST00368,7,36.35,0,annual,75,daegu,yes
CUST00369,54,10.41,1,monthly,29,seoul,no
CUST00370,63,64.41,1,monthly,51,busan,no
CUST00371,10,65.64,1,monthly,50,busan,no
CUST00372,24,47.55,2,two_year,6,gwangju,no
CUST00373,58,61.22,2,annual,49,seoul,yes
CUST00374,6,54.67,2,two_year,10,gwangju,no
CUST00375,63,46.34,2,monthly,88,gwangju,no
CUST00376,31,46.58,5,monthly,51,busan,no
CUST00377,61,38.53,1,monthly,78,seoul,no
CUST00378,19,63.68,2,monthly,66,seoul,yes
CUST00379,22,26.5,0,monthly,19,seoul,no
CUST00380,62,68.66,0,annual,57,seoul,no
CUST00381,21,67.81,0,two_year,19,busan,no
CUST00382,57,48.36,1,two_year,49,busan,no
CUST00383,20,55.1,1,monthly,56,daegu,no
CUST00384,9,69.44,0,monthly,70,seoul,no
CUST00385,10,61.62,1,monthly,50,gwangju,no
CUST00386,28,9.9,0,monthly,63,busan,no
CUST00387,23,39.59,2,monthly,9,seoul,yes
CUST00388,25,73.56,1,monthly,61,busan,no
CUST00389,23,39.4,5,monthly,20,daegu,no
CUST00390,21,49.79,2,monthly,34,daegu,no
CUST00391,47,65.4,0,annual,37,seoul,no
CUST00392,24,38.78,0,monthly,13,gwangju,no
CUST00393,7,53.87,2,monthly,19,busan,yes
CUST00394,38,64.96,2,annual,6,gwangju,no
CUST00395,23,40.25,0,two_year,26,seoul,no
CUST00396,10,70.03,1,monthly,60,daegu,yes
CUST00397,51,38.32,1,annual,56,busan,no
CUST00398,14,40.51,1,monthly,43,busan,no
CUST00399,53,56.96,4,annual,26,seoul,no
CUST00400,23,44.32,1,two_year,28,seoul,no
CUST00401,60,62.18,1,monthly,86,daegu,no
CUST00402,5,42.2,0,annual,4,daegu,yes
CUST00403,9,27.91,1,monthly,65,daegu,no
CUST00404,24,52.49,2,monthly,27,daejeon,no
CUST00405,60,54.97,1,two_year,2,busan,no
CUST00406,34,57.55,1,monthly,77,gwangju,no
CUST00407,30,52.01,0,monthly,75,daejeon,no
CUST00408,71,72.77,0,monthly,7,gwangju,no
CUST00409,43,39.06,3,two_year,76,seoul,no
CUST00410,24,36.95,2,two_year,46,gwangju,no
CUST00411,3,59.06,2,two_year,45,seoul,yes
CUST00412,17,74.74,2,monthly,6,busan,no
CUST00413,15,41.83,2,monthly,52,seoul,yes
CUST00414,66,36.68,1,annual,19,daejeon,no
CUST00415,12,29.84,1,two_year,3,busan,no
CUST00416,23,59.54,1,monthly,85,daegu,yes
CUST00417,36,62.47,0,annual,2,daejeon,no
CUST00418,39,43.7,1,annual,82,busan,no
CUST00419,31,39.89,1,annual,23,gwangju,no
CUST00420,12,37.57,0,two_year,53,daegu,no
CUST00421,2,48.76,0,monthly,65,gwangju,yes
CUST00422,52,51.86,3,monthly,55,busan,no
CUST00423,5,35.47,1,two_year,9,busan,yes
CUST00424,70,50.8,3,monthly,69,seoul,no
CUST00425,42,42.61,2,monthly,67,seoul,yes
CUST00426,32,40.76,1,two_year,41,seoul,no
CUST00427,37,18.53,0,monthly,31,seoul,no
CUST00428,64,38.37,1,monthly,49,busan,no
CUST00429,59,39.17,2,two_year,57,busan,no
CUST00430,55,76.49,2,monthly,4,daegu,no
CUST00431,9,56.75,0,monthly,51,seoul,yes
CUST00432,63,26.26,0,two_year,66,gwangju,no
CUST00433,9,34.49,0,monthly,7,daegu,no
CUST00434,42,37.0,1,annual,75,gwangju,no
CUST00435,32,47.85,0,monthly,27,daejeon,no
CUST00436,13,54.09,1,monthly,87,daejeon,no
CUST00437,48,48.89,1,monthly,77,daejeon,no
CUST00438,48,70.67,0,monthly,78,busan,no
CUST00439,6,53.1,2,annual,47,daejeon,no
CUST00440,15,30.77,4,annual,71,daejeon,no
CUST00441,45,45.51,1,monthly,32,gwangju,no
CUST00442,34,42.1,0,monthly,36,seoul,no
CUST00443,52,27.95,1,two_year,1,daejeon,no
CUST00444,20,28.1,4,monthly,26,busan,yes
CUST00445,44,35.07,2,annual,2,busan,no
CUST00446,6,33.06,3,monthly,83,daejeon,yes
CUST00447,35,32.65,0,monthly,31,daejeon,no
CUST00448,15,25.97,2,monthly,56,gwangju,yes
CUST00449,3,71.81,0,monthly,10,daegu,yes
CUST00450,37,34.18,0,two_year,48,gwangju,no
CUST00451,6,44.05,4,monthly,43,busan,yes
CUST00452,41,49.52,1,annual,83,daegu,no
CUST00453,18,33.59,0,annual,2,seoul,no
CUST00454,70,53.93,0,annual,75,gwangju,yes
CUST00455,38,40.97,0,monthly,22,seoul,no
CUST00456,71,14.15,0,monthly,48,busan,no
CUST00457,70,39.6,1,monthly,49,seoul,no
CUST00458,62,47.5,1,monthly,53,busan,no
CUST00459,58,34.47,0,monthly,24,busan,no
CUST00460,39,46.72,1,annual,51,daegu,yes
CUST00461,29,43.65,1,annual,63,gwangju,yes
CUST00462,52,43.36,2,monthly,26,gwangju,no
CUST00463,15,17.45,1,two_year,23,seoul,yes
CUST00464,44,31.25,0,monthly,65,gwangju,yes
CUST00465,42,71.06,2,two_year,80,busan,no
CUST00466,4,71.68,2,monthly,68,busan,yes
CUST00467,1,54.21,0,annual,27,daegu,no
CUST00468,7,39.2,3,annual,2,daejeon,no
CUST00469,23,37.26,0,annual,81,busan,no
CUST00470,50,59.41,2,monthly,11,daegu,no
CUST00471,14,16.65,3,monthly,41,daegu,no
CUST00472,38,51.77,2,annual,29,daegu,no
CUST00473,20,33.85,0,monthly,16,daejeon,no
CUST00474,9,66.62,4,monthly,81,busan,yes
CUST00475,10,42.93,3,annual,81,gwangju,no
CUST00476,32,57.29,3,monthly,17,daegu,no
CUST00477,42,59.8,1,monthly,4,gwangju,no
CUST00478,51,40.94,0,annual,64,seoul,no
CUST00479,9,29.88,1,two_year,52,daegu,no
CUST00480,57,50.88,0,monthly,44,gwangju,no
CUST00481,19,38.1,0,monthly,62,gwangju,no
CUST00482,17,11.68,0,two_year,45,daejeon,no
CUST00483,24,26.01,1,annual,56,seoul,no
CUST00484,60,43.98,1,monthly,1,busan,no
CUST00485,10,38.87,3,monthly,18,daegu,no
CUST00486,12,45.77,0,annual,52,daegu,no
CUST00487,35,39.1,1,monthly,89,gwangju,yes
CUST00488,14,41.49,0,monthly,18,daejeon,no
CUST00489,69,21.03,3,annual,6,gwangju,no
CUST00490,65,52.96,4,annual,26,busan,no
CUST00491,68,32.64,0,monthly,34,gwangju,no
CUST00492,48,48.65,1,monthly,88,gwangju,yes
CUST00493,67,45.05,0,monthly,4,daegu,no
CUST00494,25,31.78,1,monthly,47,daejeon,yes
CUST00495,43,22.99,4,monthly,16,seoul,no
CUST00496,55,53.78,3,annual,33,seoul,no
CUST00497,37,47.24,1,monthly,42,seoul,yes
CUST00498,29,57.68,1,annual,77,daejeon,yes
CUST00499,24,47.93,1,monthly,37,daejeon,no
CUST00500,42,29.04,2,monthly,65,seoul,no
CUST00501,44,14.3,1,monthly,85,busan,no
CUST00502,63,46.66,0,monthly,54,daejeon,no
CUST00503,70,33.24,2,two_year,84,daejeon,no
CUST00504,15,78.42,2,monthly,21,daegu,yes
CUST00505,16,62.0,0,monthly,40,seoul,no
CUST00506,31,52.26,0,two_year,35,busan,no
CUST00507,54,44.64,0,two_year,58,daejeon,no
CUST00508,61,32.97,1,monthly,17,gwangju,no
CUST00509,23,64.06,0,monthly,17,daejeon,no
CUST00510,67,32.08,1,two_year,10,seoul,no
CUST00511,67,55.22,2,monthly,28,daegu,yes
CUST00512,68,41.35,3,two_year,28,gwangju,no
CUST00513,47,52.08,1,monthly,67,gwangju,no
CUST00514,33,65.48,1,annual,9,daejeon,no
CUST00515,15,50.29,1,monthly,41,daegu,yes
CUST00516,60,89.01,1,annual,5,gwangju,no
CUST00517,42,38.46,1,monthly,8,gwangju,no
CUST00518,42,47.64,2,annual,85,busan,yes
CUST00519,51,31.82,1,monthly,14,busan,no
CUST00520,19,33.75,0,annual,65,daegu,yes
CUST00521,64,42.28,0,monthly,47,gwangju,no
CUST00522,47,47.09,1,two_year,77,daegu,no
CUST00523,70,47.51,3,monthly,37,daejeon,no
CUST00524,56,47.4,2,annual,1,daegu,no
CUST00525,48,56.32,3,two_year,34,busan,no
CUST00526,57,54.58,1,annual,87,busan,no
CUST00527,35,69.29,2,monthly,14,gwangju,no
CUST00528,22,43.72,2,annual,58,daejeon,no
CUST00529,8,27.13,2,monthly,36,daejeon,no
CUST00530,66,38.54,0,monthly,58,seoul,no
CUST00531,63,78.97,2,annual,84,gwangju,no
CUST00532,19,44.39,2,monthly,69,daegu,yes
