customer_id,tenure_months,monthly_fee,support_tickets,contract_type,last_login_days,region,churn,churn_reason,account_closed_date,exit_survey_score
CUST00056,31,55.0,3,monthly,38,seoul,no,,,8.63
CUST00057,58,67.69,2,monthly,21,busan,no,,,9.39
CUST00058,58,31.21,1,monthly,64,daegu,no,,,8.51
CUST00059,70,62.27,2,monthly,53,daejeon,no,,,9.22
CUST00060,1,58.71,2,two_year,22,gwangju,no,,,8.7
CUST00061,12,41.83,1,monthly,20,seoul,no,,,7.93
CUST00062,46,42.49,3,two_year,82,gwangju,no,,,8.24
CUST00063,28,50.42,3,monthly,32,seoul,yes,competitor,2025-01-05,1.57
CUST00064,29,44.43,1,monthly,62,busan,no,,,8.69
CUST00065,53,50.38,2,monthly,12,gwangju,no,,,7.75
CUST00066,22,16.58,3,monthly,31,daejeon,yes,support,2025-12-31,2.48
CUST00067,58,32.29,0,monthly,69,daejeon,no,,,9.17
CUST00068,29,38.68,0,annual,62,daejeon,no,,,8.45
CUST00069,51,78.73,2,annual,84,daejeon,no,,,8.14
CUST00070,53,30.5,3,monthly,72,seoul,no,,,8.4
CUST00071,5,47.28,3,monthly,22,gwangju,no,,,8.08
CUST00072,70,9.9,1,annual,76,daejeon,no,,,7.54
CUST00073,9,46.13,0,monthly,43,daejeon,no,,,7.65
CUST00074,71,43.72,4,two_year,41,daejeon,no,,,8.09
CUST00075,60,32.76,1,two_year,39,seoul,no,,,9.35
CUST00076,60,31.26,1,two_year,10,busan,no,,,8.19
CUST00077,6,47.93,4,monthly,75,busan,yes,price,2025-06-14,2.53
CUST00078,44,52.62,1,monthly,10,busan,no,,,7.87
CUST00079,4,35.65,1,monthly,8,gwangju,no,,,8.46
CUST00080,17,43.03,0,monthly,72,seoul,yes,moved,2025-05-31,1.91
CUST00081,40,31.95,2,monthly,71,gwangju,no,,,8.53
CUST00082,31,35.86,2,annual,36,daejeon,no,,,8.65
CUST00083,53,54.57,2,annual,55,daegu,yes,moved,2025-06-26,2.47
CUST00084,66,49.53,0,monthly,51,busan,no,,,8.62
CUST00085,41,41.21,2,annual,37,daejeon,no,,,9.03
CUST00086,32,54.49,2,monthly,35,gwangju,yes,moved,2025-04-19,2.34
CUST00087,11,28.52,0,annual,54,seoul,no,,,7.48
CUST00088,49,47.84,0,monthly,41,daegu,no,,,8.68
CUST00089,35,46.67,3,annual,54,seoul,yes,competitor,2025-01-08,1.64
CUST00090,32,67.71,2,two_year,32,daejeon,no,,,7.22
CUST00091,69,57.9,1,annual,22,daejeon,no,,,7.96
CUST00092,64,54.17,0,monthly,86,seoul,yes,moved,2025-10-06,1.78
CUST00093,69,77.05,1,monthly,12,gwangju,no,,,8.05
CUST00094,22,35.89,0,monthly,63,daejeon,no,,,8.0
CUST00095,46,47.36,0,monthly,42,daejeon,no,,,8.14
CUST00096,18,57.48,2,monthly,25,daejeon,no,,,7.12
CUST00097,27,28.21,2,annual,5,daegu,no,,,8.65
CUST00098,20,40.27,0,two_year,84,daejeon,no,,,8.95
CUST00099,28,43.53,0,two_year,81,gwangju,no,,,8.61
CUST00100,62,47.56,1,monthly,72,seoul,no,,,9.37
CUST00101,35,40.06,0,annual,25,gwangju,no,,,8.82
CUST00102,63,60.52,2,monthly,42,daegu,no,,,7.18
CUST00103,13,23.79,2,two_year,11,gwangju,no,,,9.41
CUST00104,32,57.63,1,monthly,36,daegu,yes,competitor,2025-06-24,1.51
CUST00105,18,48.54,1,annual,88,seoul,no,,,7.69
CUST00106,33,45.06,2,monthly,68,daejeon,yes,support,2025-03-08,2.41
CUST00107,66,54.8,3,monthly,43,gwangju,no,,,8.42
CUST00108,13,31.52,0,annual,47,daejeon,no,,,9.09
CUST00109,23,47.19,2,annual,5,daegu,no,,,8.56
CUST00110,27,45.54,2,two_year,12,seoul,no,,,8.27
CUST00111,36,51.05,1,annual,34,gwangju,yes,moved,2025-12-07,3.51
CUST00112,9,24.68,1,annual,33,busan,yes,support,2025-01-06,3.5
CUST00113,14,55.87,1,annual,61,daejeon,yes,competitor,2025-01-12,2.01
CUST00114,66,43.74,1,two_year,63,busan,no,,,8.03
CUST00115,60,33.87,3,annual,71,seoul,no,,,8.54
CUST00116,36,34.4,1,two_year,4,daegu,no,,,8.04
CUST00117,31,30.62,1,monthly,75,daejeon,no,,,8.66
CUST00118,1,64.22,1,monthly,76,gwangju,no,,,9.07
CUST00119,4,51.76,1,monthly,16,gwangju,no,,,8.22
CUST00120,51,41.3,0,monthly,70,seoul,no,,,8.07
CUST00121,5,52.07,3,monthly,40,daegu,yes,price,2025-11-29,3.13
CUST00122,68,54.87,2,monthly,44,seoul,yes,moved,2025-08-02,1.49
CUST00123,60,40.12,2,two_year,85,gwangju,no,,,8.05
CUST00124,27,46.66,2,monthly,23,daejeon,no,,,7.89
CUST00125,29,39.54,1,annual,4,daejeon,no,,,8.12
CUST00126,69,52.55,0,two_year,5,busan,no,,,8.59
CUST00127,19,44.23,1,two_year,27,busan,no,,,8.59
CUST00128,26,34.86,1,annual,52,gwangju,no,,,7.93
CUST00129,66,41.77,2,annual,63,daejeon,no,,,8.27
CUST00130,22,30.32,1,monthly,77,seoul,yes,competitor,2025-07-09,1.43
CUST00131,58,45.98,1,two_year,71,gwangju,no,,,9.44
CUST00132,36,47.19,2,monthly,67,daegu,no,,,8.08
CUST00133,56,85.94,2,two_year,37,busan,no,,,9.19
CUST00134,66,45.81,0,two_year,15,daegu,no,,,7.79
CUST00135,46,23.15,1,annual,52,gwangju,no,,,8.03
CUST00136,19,44.8,0,monthly,89,daejeon,yes,price,2025-04-04,2.54
CUST00137,47,35.92,1,monthly,61,gwangju,no,,,8.55
CUST00138,35,32.44,3,monthly,57,busan,no,,,8.4
CUST00139,55,66.18,0,monthly,62,daegu,yes,price,2025-09-20,2.99
CUST00140,44,50.66,1,annual,53,daejeon,no,,,8.28
CUST00141,30,58.03,3,annual,78,daegu,no,,,7.39
CUST00142,66,48.43,3,annual,0,daegu,no,,,7.91
CUST00143,44,44.26,3,monthly,88,seoul,yes,moved,2025-01-13,2.8
CUST00144,27,32.22,1,monthly,36,daegu,no,,,8.79
CUST00145,10,35.3,1,monthly,69,busan,no,,,9.39
CUST00146,67,43.62,3,monthly,1,seoul,no,,,8.72
CUST00147,60,53.3,0,monthly,52,daejeon,no,,,8.16
CUST00148,49,50.0,0,monthly,4,gwangju,no,,,8.58
CUST00149,53,34.78,1,monthly,78,seoul,no,,,8.27
CUST00150,39,41.23,2,two_year,89,gwangju,no,,,8.94
CUST00151,62,37.35,0,monthly,23,daegu,no,,,8.93
CUST00152,52,36.95,3,monthly,76,daegu,yes,moved,2025-01-16,2.35
CUST00153,7,37.97,1,monthly,7,busan,no,,,8.0
CUST00154,67,44.18,1,monthly,65,gwangju,no,,,8.29
CUST00155,71,50.91,2,annual,30,seoul,no,,,7.84
CUST00156,34,48.81,0,annual,0,daejeon,no,,,8.18
CUST00157,68,18.77,0,monthly,45,gwangju,no,,,8.4
CUST00158,68,52.43,2,two_year,14,seoul,no,,,9.04
CUST00159,66,29.18,1,monthly,80,seoul,no,,,9.62
CUST00160,63,28.06,2,monthly,65,daegu,yes,support,2026-01-31,2.39
CUST00161,37,9.9,2,monthly,70,busan,no,,,8.31
CUST00162,40,37.16,0,monthly,86,gwangju,no,,,7.98
CUST00163,28,30.55,2,two_year,13,seoul,no,,,7.43
CUST00164,32,47.11,0,monthly,85,daejeon,no,,,8.54
CUST00165,66,49.19,0,monthly,57,gwangju,no,,,8.71
CUST00166,71,81.36,1,monthly,74,daegu,yes,competitor,2025-09-28,2.6
CUST00167,50,18.74,1,monthly,7,busan,no,,,9.27
CUST00168,65,26.82,0,monthly,83,seoul,no,,,8.21
CUST00169,40,77.95,0,monthly,5,seoul,no,,,8.98
CUST00170,63,38.2,1,annual,82,gwangju,no,,,7.45
CUST00171,14,11.02,2,monthly,48,daegu,no,,,8.27
CUST00172,33,36.17,1,monthly,76,busan,no,,,7.47
CUST00173,37,14.98,3,monthly,46,daejeon,yes,support,2025-01-23,1.94
CUST00174,9,34.87,0,two_year,63,daegu,no,,,7.66
CUST00175,29,31.35,2,monthly,10,gwangju,yes,moved,2025-05-29,2.92
CUST00176,21,30.68,2,annual,74,busan,yes,support,2026-01-27,2.8
CUST00177,44,46.93,1,monthly,12,seoul,no,,,8.58
CUST00178,63,39.09,1,two_year,45,busan,no,,,8.35
CUST00179,11,52.72,1,two_year,74,busan,no,,,7.74
CUST00180,56,68.99,0,monthly,58,daegu,no,,,8.13
CUST00181,56,47.49,1,two_year,57,busan,no,,,9.53
CUST00182,50,9.9,1,monthly,79,busan,no,,,8.26
CUST00183,47,71.05,4,monthly,18,seoul,no,,,8.25
CUST00184,50,14.19,1,annual,84,daegu,no,,,9.48
CUST00185,40,36.33,2,monthly,12,gwangju,no,,,8.76
CUST00186,24,40.58,0,monthly,84,gwangju,no,,,8.19
CUST00187,27,40.78,4,monthly,11,seoul,no,,,7.68
CUST00188,47,54.75,1,monthly,20,seoul,no,,,9.0
CUST00189,68,45.62,1,monthly,48,seoul,no,,,8.62
CUST00190,29,43.3,2,annual,9,busan,no,,,7.84
CUST00191,56,38.46,0,two_year,17,seoul,no,,,7.95
CUST00192,45,30.4,1,annual,13,busan,no,,,9.13
CUST00193,11,53.97,5,monthly,55,daegu,yes,moved,2025-11-16,2.76
CUST00194,29,45.08,2,monthly,64,seoul,yes,price,2025-03-02,2.19
CUST00195,51,69.72,1,monthly,57,busan,yes,moved,2025-03-07,2.62
CUST00196,2,40.22,3,monthly,77,busan,yes,support,2025-08-01,2.25
CUST00197,9,37.05,0,two_year,73,daejeon,no,,,8.94
CUST00198,27,53.19,1,annual,2,busan,no,,,8.43
CUST00199,59,48.09,2,monthly,69,gwangju,no,,,8.37
CUST00200,39,34.62,2,monthly,46,gwangju,no,,,8.64
CUST00201,14,35.65,2,two_year,35,seoul,no,,,7.73
CUST00202,25,33.95,0,monthly,3,busan,no,,,8.54
CUST00203,67,38.65,2,two_year,77,seoul,no,,,8.84
CUST00204,30,49.09,4,monthly,65,seoul,yes,price,2025-09-04,1.41
CUST00205,3,14.69,1,two_year,45,daegu,no,,,8.17
CUST00206,6,50.01,3,monthly,48,daejeon,yes,support,2025-03-27,1.65
CUST00207,67,43.45,0,two_year,73,seoul,no,,,8.35
CUST00208,43,33.55,2,monthly,23,busan,yes,support,2026-01-18,3.41
CUST00209,65,81.69,2,monthly,45,daegu,no,,,8.66
CUST00210,60,38.04,3,monthly,56,gwangju,yes,price,2025-10-17,2.12
CUST00211,2,57.4,2,annual,49,gwangju,no,,,7.8
CUST00212,19,61.89,1,two_year,54,seoul,no,,,9.0
CUST00213,23,52.94,3,monthly,58,daegu,yes,competitor,2025-04-23,2.5
CUST00214,64,48.2,3,annual,44,daegu,no,,,8.69
CUST00215,54,68.56,0,monthly,78,daejeon,no,,,8.68
CUST00216,53,49.44,0,monthly,60,daegu,no,,,8.43
CUST00217,35,20.86,1,monthly,87,daejeon,no,,,8.32
CUST00218,45,20.15,1,annual,77,seoul,no,,,9.51
CUST00219,24,27.03,0,two_year,74,daegu,no,,,8.92
CUST00220,26,44.7,1,annual,24,seoul,no,,,8.76
CUST00221,2,50.82,0,two_year,88,daegu,no,,,8.56
CUST00222,40,43.31,2,monthly,10,gwangju,no,,,7.59
CUST00223,56,51.64,1,monthly,82,seoul,no,,,8.96
CUST00224,18,34.65,2,annual,8,busan,no,,,10.0
CUST00225,64,76.63,1,monthly,20,daejeon,no,,,9.52
CUST00226,36,27.84,0,two_year,42,busan,no,,,8.87
CUST00227,54,30.65,1,two_year,9,daegu,no,,,9.94
CUST00228,22,68.73,1,two_year,78,gwangju,yes,competitor,2025-02-11,3.15
CUST00229,32,46.32,1,annual,57,seoul,no,,,7.89
CUST00230,27,39.14,3,monthly,77,busan,yes,moved,2025-07-14,2.76
CUST00231,60,51.93,1,monthly,59,busan,yes,support,2025-01-22,1.16
CUST00232,6,50.37,0,monthly,83,busan,yes,competitor,2025-10-16,2.9
CUST00233,19,20.52,1,monthly,40,seoul,yes,moved,2025-11-11,2.4
CUST00234,16,30.53,3,monthly,23,busan,no,,,8.97
CUST00235,23,45.16,2,monthly,76,gwangju,yes,support,2025-10-16,1.02
CUST00236,15,52.07,1,two_year,67,seoul,no,,,8.6
CUST00237,41,26.38,2,monthly,34,daejeon,no,,,9.01
CUST00238,57,15.47,0,monthly,5,daejeon,no,,,8.01
CUST00239,38,35.9,1,monthly,78,seoul,no,,,9.71
CUST00240,4,49.5,0,two_year,1,daegu,yes,moved,2025-07-11,2.29
CUST00241,49,55.57,4,monthly,19,seoul,no,,,8.19
CUST00242,67,32.36,0,two_year,26,gwangju,no,,,8.89
CUST00243,53,23.53,2,annual,65,busan,yes,price,2026-01-18,2.0
CUST00244,36,45.98,2,monthly,15,busan,no,,,7.29
CUST00245,47,34.32,1,monthly,79,seoul,no,,,7.95
CUST00246,47,38.86,0,annual,72,daegu,no,,,8.69
CUST00247,54,35.63,2,monthly,44,busan,no,,,8.61
CUST00248,27,32.5,4,two_year,28,seoul,no,,,8.5
CUST00249,52,40.48,3,monthly,78,daegu,no,,,8.37
CUST00250,32,47.14,0,monthly,61,gwangju,no,,,8.17
CUST00251,71,24.77,2,monthly,24,gwangju,no,,,8.26
CUST00252,26,38.77,0,monthly,56,daegu,no,,,9.21
CUST00253,29,56.05,2,monthly,62,gwangju,yes,moved,2025-05-12,1.85
CUST00254,56,54.21,3,annual,0,daejeon,yes,support,2025-12-12,1.78
CUST00255,23,49.25,1,monthly,75,gwangju,no,,,8.74
CUST00256,24,30.65,3,two_year,49,daegu,no,,,8.68
CUST00257,47,44.48,0,monthly,42,daejeon,no,,,8.15
CUST00258,30,43.17,2,monthly,15,daegu,no,,,8.95
CUST00259,10,60.15,1,annual,58,daejeon,yes,support,2025-05-17,2.43
CUST00260,21,38.42,4,annual,24,busan,no,,,6.49
CUST00261,40,39.49,1,monthly,87,daejeon,no,,,8.14
CUST00262,14,55.22,1,annual,38,daejeon,no,,,8.04
CUST00263,42,36.9,1,monthly,89,seoul,no,,,8.71
CUST00264,28,38.31,0,monthly,83,busan,yes,moved,2025-11-14,1.3
CUST00265,67,37.16,1,annual,36,daejeon,no,,,9.76
CUST00266,38,29.47,3,two_year,54,daegu,no,,,8.96
CUST00267,55,61.59,1,monthly,61,gwangju,no,,,8.55
CUST00268,2,61.5,2,two_year,86,daegu,yes,price,2025-09-07,2.79
CUST00269,54,49.64,2,annual,74,busan,no,,,8.34
CUST00270,18,19.96,1,monthly,5,daejeon,no,,,9.01
CUST00271,2,28.8,1,monthly,47,daejeon,no,,,8.27
CUST00272,13,29.91,1,annual,21,busan,yes,competitor,2025-03-20,1.66
CUST00273,69,48.07,0,monthly,77,seoul,no,,,8.4
CUST00274,39,64.78,3,two_year,54,daejeon,no,,,8.35
CUST00275,49,62.54,4,annual,51,busan,no,,,8.27
CUST00276,24,52.19,1,monthly,49,seoul,yes,price,2025-04-17,1.99
CUST00277,42,55.85,1,annual,62,seoul,no,,,7.55
CUST00278,9,50.47,1,two_year,20,seoul,no,,,7.57
CUST00279,6,27.24,3,annual,1,daejeon,no,,,9.41
CUST00280,62,49.59,0,monthly,54,daejeon,yes,support,2025-04-18,1.23
CUST00281,50,31.38,3,monthly,47,gwangju,no,,,7.43
CUST00282,55,14.38,1,monthly,75,seoul,no,,,8.47
CUST00283,63,38.84,2,monthly,70,daegu,yes,support,2025-06-22,3.23
CUST00284,59,36.84,2,monthly,52,busan,no,,,8.22
CUST00285,13,49.89,0,monthly,75,busan,yes,price,2025-04-27,1.89
CUST00286,36,31.04,1,two_year,10,busan,no,,,8.83
CUST00287,57,22.98,1,monthly,87,daegu,no,,,9.02
CUST00288,13,56.83,1,annual,29,seoul,no,,,9.52
CUST00289,14,56.15,1,annual,49,daejeon,yes,competitor,2025-08-19,2.39
CUST00290,19,73.66,0,monthly,85,daejeon,yes,support,2025-03-06,1.78
CUST00291,49,53.22,2,monthly,57,seoul,yes,competitor,2025-09-29,2.25
CUST00292,1,44.47,1,monthly,31,busan,yes,support,2025-01-10,1.6
CUST00293,24,29.93,0,monthly,16,seoul,no,,,8.75
CUST00294,71,40.81,2,monthly,89,daegu,no,,,9.5
CUST00295,16,50.43,2,annual,18,gwangju,yes,support,2025-02-27,2.63
CUST00296,37,55.05,3,annual,73,busan,no,,,7.58
CUST00297,18,47.34,1,monthly,7,seoul,no,,,8.04
CUST00298,18,58.17,0,two_year,28,seoul,no,,,9.06
CUST00299,50,25.2,1,monthly,13,busan,no,,,8.98
CUST00300,70,67.78,3,annual,14,seoul,no,,,7.44
CUST00301,10,48.82,1,monthly,38,gwangju,yes,moved,2026-01-29,0.9
CUST00302,14,54.14,1,monthly,14,seoul,no,,,9.6
CUST00303,39,34.5,3,annual,57,daegu,no,,,8.46
CUST00304,6,20.74,0,annual,62,daejeon,no,,,6.56
CUST00305,4,35.49,0,annual,14,daejeon,no,,,8.67
CUST00306,66,56.22,3,monthly,49,seoul,no,,,7.9
CUST00307,71,70.58,1,two_year,17,gwangju,no,,,7.83
CUST00308,52,52.26,3,monthly,63,daejeon,yes,moved,2025-03-28,1.67
CUST00309,6,18.24,1,two_year,55,daegu,no,,,8.26
CUST00310,26,40.7,1,annual,13,daejeon,no,,,7.87
CUST00311,57,45.93,0,annual,68,busan,no,,,9.13
CUST00312,1,64.6,1,monthly,89,daejeon,yes,price,2025-01-18,2.2
CUST00313,68,42.15,0,annual,61,seoul,no,,,7.71
CUST00314,44,34.49,0,two_year,8,busan,no,,,7.72
CUST00315,17,50.37,3,monthly,41,daegu,yes,support,2025-05-20,1.91
CUST00316,66,35.35,4,monthly,81,busan,no,,,9.63
CUST00317,6,50.58,1,monthly,58,busan,yes,moved,2025-03-05,1.88
CUST00318,41,29.15,0,two_year,30,seoul,no,,,7.59
CUST00319,29,29.24,1,monthly,69,daejeon,yes,support,2025-10-07,1.24
CUST00320,49,35.19,2,annual,18,seoul,no,,,7.61
CUST00321,21,60.5,3,monthly,3,daegu,no,,,8.7
CUST00322,1,43.53,2,two_year,77,daegu,yes,price,2025-03-23,1.81
CUST00323,16,66.2,0,monthly,78,daejeon,no,,,8.92
CUST00324,34,38.51,1,monthly,85,seoul,yes,support,2025-06-06,1.95
CUST00325,51,72.53,2,monthly,21,daejeon,no,,,8.58
CUST00326,50,26.16,1,annual,14,gwangju,no,,,8.84
CUST00327,57,52.66,3,monthly,15,busan,no,,,8.27
CUST00328,49,40.37,2,annual,3,gwangju,no,,,8.17
CUST00329,1,33.13,0,monthly,82,gwangju,yes,moved,2025-01-06,1.85
CUST00330,33,45.14,1,annual,66,daegu,no,,,7.93
CUST00331,71,35.35,1,monthly,59,daegu,no,,,8.15
CUST00332,5,50.62,1,monthly,86,seoul,yes,price,2025-06-01,1.29
CUST00333,42,30.53,1,annual,16,gwangju,no,,,8.75
CUST00334,38,42.76,5,monthly,7,daejeon,no,,,7.73
CUST00335,43,48.5,1,monthly,27,daegu,no,,,8.14
CUST00336,39,62.84,2,annual,50,seoul,no,,,8.43
CUST00337,20,92.5,4,annual,81,daegu,yes,support,2025-04-14,1.55
CUST00338,6,49.54,3,monthly,36,daegu,yes,support,2025-03-17,2.0
CUST00339,48,51.43,3,two_year,21,daegu,no,,,8.89
CUST00340,23,49.93,2,annual,0,busan,no,,,8.71
CUST00341,68,24.49,2,monthly,86,daejeon,no,,,7.87
CUST00342,32,59.83,2,two_year,14,gwangju,no,,,8.95
CUST00343,15,48.82,2,two_year,28,gwangju,no,,,8.11
CUST00344,36,51.48,0,annual,2,busan,no,,,8.6
CUST00345,62,57.59,2,monthly,13,daejeon,no,,,8.58
CUST00346,51,71.47,0,monthly,87,daegu,no,,,8.09
CUST00347,41,26.35,1,monthly,31,seoul,no,,,7.36
CUST00348,31,54.21,0,annual,75,daegu,no,,,7.88
CUST00349,16,41.92,2,monthly,71,busan,yes,price,2025-05-17,1.3
CUST00350,43,45.22,2,two_year,89,busan,no,,,8.77
CUST00351,22,47.06,2,annual,15,busan,no,,,8.48
CUST00352,63,61.1,1,monthly,6,gwangju,no,,,8.43
CUST00353,5,69.87,0,annual,6,daejeon,no,,,8.57
CUST00354,62,57.56,1,monthly,23,daegu,no,,,8.59
CUST00355,46,39.36,3,monthly,86,daejeon,no,,,8.75
CUST00356,50,53.73,2,monthly,72,gwangju,no,,,9.26
CUST00357,62,56.49,1,monthly,72,daegu,no,,,9.17
CUST00358,45,40.72,1,monthly,56,busan,no,,,7.76
CUST00359,40,36.82,1,monthly,86,daegu,no,,,9.33
CUST00360,40,23.13,2,monthly,43,daegu,no,,,8.3
CUST00361,45,58.07,1,annual,79,gwangju,no,,,8.07
CUST00362,61,56.34,1,two_year,34,daegu,no,,,7.96
CUST00363,69,58.55,5,annual,43,busan,no,,,8.59
CUST00364,25,47.13,1,annual,84,busan,no,,,8.48
CUST00365,45,77.03,1,monthly,31,daejeon,no,,,8.53
CUST00366,70,18.9,1,monthly,86,busan,no,,,8.17
CUST00367,25,21.35,1,monthly,1,daejeon,no,,,9.03
CUST00368,7,36.35,0,annual,75,daegu,yes,moved,2025-07-18,1.92
CUST00369,54,10.41,1,monthly,29,seoul,no,,,7.75
CUST00370,63,64.41,1,monthly,51,busan,no,,,7.57
CUST00371,10,65.64,1,monthly,50,busan,no,,,8.68
CUST00372,24,47.55,2,two_year,6,gwangju,no,,,9.01
CUST00373,58,61.22,2,annual,49,seoul,yes,moved,2025-11-13,2.69
CUST00374,6,54.67,2,two_year,10,gwangju,no,,,7.92
CUST00375,63,46.34,2,monthly,88,gwangju,no,,,8.36
CUST00376,31,46.58,5,monthly,51,busan,no,,,8.77
CUST00377,61,38.53,1,monthly,78,seoul,no,,,8.69
CUST00378,19,63.68,2,monthly,66,seoul,yes,support,2025-06-18,1.53
CUST00379,22,26.5,0,monthly,19,seoul,no,,,7.66
CUST00380,62,68.66,0,annual,57,seoul,no,,,7.51
CUST00381,21,67.81,0,two_year,19,busan,no,,,7.7
CUST00382,57,48.36,1,two_year,49,busan,no,,,7.88
CUST00383,20,55.1,1,monthly,56,daegu,no,,,7.61
CUST00384,9,69.44,0,monthly,70,seoul,no,,,8.09
CUST00385,10,61.62,1,monthly,50,gwangju,no,,,7.68
CUST00386,28,9.9,0,monthly,63,busan,no,,,8.8
CUST00387,23,39.59,2,monthly,9,seoul,yes,moved,2025-08-27,2.32
CUST00388,25,73.56,1,monthly,61,busan,no,,,7.46
CUST00389,23,39.4,5,monthly,20,daegu,no,,,8.84
CUST00390,21,49.79,2,monthly,34,daegu,no,,,8.89
CUST00391,47,65.4,0,annual,37,seoul,no,,,7.19
CUST00392,24,38.78,0,monthly,13,gwangju,no,,,8.44
CUST00393,7,53.87,2,monthly,19,busan,yes,competitor,2025-06-19,2.74
CUST00394,38,64.96,2,annual,6,gwangju,no,,,8.5
CUST00395,23,40.25,0,two_year,26,seoul,no,,,8.49
CUST00396,10,70.03,1,monthly,60,daegu,yes,competitor,2025-12-15,1.72
CUST00397,51,38.32,1,annual,56,busan,no,,,9.07
CUST00398,14,40.51,1,monthly,43,busan,no,,,8.48
CUST00399,53,56.96,4,annual,26,seoul,no,,,8.18
CUST00400,23,44.32,1,two_year,28,seoul,no,,,8.65
CUST00401,60,62.18,1,monthly,86,daegu,no,,,7.98
CUST00402,5,42.2,0,annual,4,daegu,yes,support,2025-02-18,1.89
CUST00403,9,27.91,1,monthly,65,daegu,no,,,7.53
CUST00404,24,52.49,2,monthly,27,daejeon,no,,,9.3
CUST00405,60,54.97,1,two_year,2,busan,no,,,8.82
CUST00406,34,57.55,1,monthly,77,gwangju,no,,,8.24
CUST00407,30,52.01,0,monthly,75,daejeon,no,,,8.37
CUST00408,71,72.77,0,monthly,7,gwangju,no,,,7.89
CUST00409,43,39.06,3,two_year,76,seoul,no,,,8.84
